"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21/08/2025 19:54:40,""rayyan-305067104"",""Not just a pretty song: an overview of the vocal repertoire of Indri indri."",2010,""Indri indri"",""indri"","""",""Primates"",""Indriidae"",""field"",""group"",""Yes"",""28"",NA,""1670"",""Hand"",""Yes"",""12"",3,"""",""No"",""No"","""",""yes"",""linear"",""2205"",""not reported"",""not reported"",""Lowpass"",12000,NA,""No details given on FFT procedure, only some of the Praat settings"",""Praat"",""7"",""Some"",""duration"","""","""",""mean F0, max F0, min F0"","""","""","""",""average first formant (F1), average second formant (F2), average third";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"formant (F3)"",""formants"","""",""SPSS"",""DFA"",""features"","""",""Yes"",""CC BY-NC 4.0"",""x"",""rayyan-305067104"",""Not just a pretty song: an overview of the vocal repertoire of Indri indri."",2010,NA,NA,""journal of anthropological sciences = rivista di antropologia : jass"",""1827-4765 (Print)"",88,NA,""151-65"",""Maretti G and Sorrentino V and Finomana A and Gamba M and Giacoma C"",""https://pubmed.ncbi.nlm.nih.gov/20834055/"",""eng"",NA,""Italy"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"","""",""Animals";Female;Madagascar;Male;Strepsirhini/*physiology;"Vocalization, Animal/*physiology"",""20834055"","""",NA,28,1670,3,12";;;;;;;;;;;;;;;;;;;;;;;
"24/08/2025 06:44:20,""rayyan-305067116"",""Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls"",2015,""Sapajus ﬂavius"",""blond capuchin"","""",""Primates"",""Cebidae"",""field"",""group"",""Yes"",""129"",NA,""8373"",""Hand"",""Yes"",""29"",2,"""",""No"",""No"",""Vocalizers for some types could not be ascertains, so could be more juvenile calls"",""yes"","""",""1024"",""Hanning/Hann"",""not reported"",""No"",NA,NA,"""",""BatSound"",""12"",""Some"",""duration"",""number of units"","""","""","""","""","""",""peak frequency, max f0, min f0, f0 bandwidth, start f0, end f0, time to max f0, time max to end f0, number of harmonics, frequency interval from the highest frequency of the first harmonic to the lowest frequency of the second harmonic"",""F0, peak frequency, formants"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067116"",""Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls."",2015,6,NA,""american journal of primatology"",""1098-2345 (Electronic)"",77,6,""605-17"",""Bastos M and Souto A and Jones G and Eason P and Bione C and Schiel N and Bezerra B"",""https://pubmed.ncbi.nlm.nih.gov/26158127/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22384"",""Age Factors";Animals;Brazil;Cebus/*physiology;Endangered Species;Feeding Behavior;Female;Male;"*Vocalization, Animal"",""26158127"","""",NA,129,8373,2,29";;;;;;;;;;;;;;;;;;;;
"17/08/2025 22:28:40,""rayyan-305067163"",""The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality."",2009,""Cynictis penicillata"",""yellow mongoose"","""",""Carnivora"",""Herpestidae"",""field"",""group"",""Yes"",""unclear"",NA,""377"",""Hand"",""Yes"",""10"",NA,"""",""No"",""No"","""",""yes"","""",""512"",""Hamming"",""87.5"",""Highpass"",200,NA,""Highpass applied for wind noise"",""Avisoft-SASLab Pro"",""10"",""Some"",""duration"","""","""","""",""peak frequency, fundamental frequency, bandwidth, Q25, Q50, Q75, entropy"","""","""",""time to max (%), PF start"",""peak frequency"","""",""not specified"",""DFA"",""features"",""language not noted"",""No"","""",""x"",""rayyan-305067163"",""The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality."",2009,5,NA,""die naturwissenschaften"",""1432-1904 (Electronic)"",96,5,""575-84"",""Le Roux A and Cherry MI and Manser MB"",""https://pubmed.ncbi.nlm.nih.gov/19247627/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s00114-008-0506-5"",""Acoustics";Aggression;Animals;Botswana;Ecosystem;Fear;Feeding Behavior/*physiology;Female;Herpestidae/*physiology/psychology;Male;Sexual Behavior, Animal;*Social Behavior;Sound;"Vocalization, Animal/*physiology"",""19247627"","""",NA,-1,377,0,10";;;;;;;;;;;;;;;
"24/08/2025 05:25:47,""rayyan-305067190"",""Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire."",2013,""Cervus elaphus hispanicus"",""Iberian stag"","""",""Artiodactyla"",""Cervidae"",""field"",""group"",""No"",""13"",NA,""334"",""Automated"",""No"","""",NA,""4"",""No"",""No"",""For the purpose of the detailed acoustic comparisons between call types and between individuals, we extracted and analysed a smaller set of 82 bouts (144 calls) from 6 males recorded at closer distances (ranging from 49 m to 106 m)"","""","""",""1323"",""Gaussian"","""",""No"",NA,NA,"""",""Praat"",""20"",""All"",""duration"",""unit duration, Number of units into bout, position in bout"","""",""mean F0, max F0, min F0, range F0"","""","""","""",""occurence of deterministic chaos, centre of first 8 formants, formant dispersion, estimated vocal tract length, relative intensite of call (dB)"",""formants, amplitude"","""",""R"",""DFA, agglomerative hierarchical clustering, LMM"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067190"",""Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire."",2013,NA,NA,""plos one"",""1932-6203 (Electronic)"",8,5,""e63841"",""Passilongo D and Reby D and Carranza J and Apollonio M"",""https://pubmed.ncbi.nlm.nih.gov/23667678/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0063841"",""Animals";*Biological Evolution;Cluster Analysis;Deer/*physiology;Linear Models;Male;Selection, Genetic;Sexual Behavior, Animal/*physiology;Sound Spectrography;Spain;Species Specificity;"Vocalization, Animal/classification/*physiology"",""23667678"",""PMC3648515"",NA,13,334,0,NA";;;;;;;;;;;;;;;;;
"06/10/2025 21:47:42,""rayyan-305067201"",""Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons."",2013,""Papio papio"",""Guinea baboon"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"",""30"",4420,""1215"",""Hand, Automated"",""Yes"",""5"",NA,""6"",""No"",""No"","""",""yes"","""",""1024"",""Hanning/Hann"",""96.4"",""No"",NA,NA,"""",""LMA"",""9"",""No"",""duration"","""","""","""","""","""","""",""Distribution of frequency amplitudes"; Modulation of the first dominant frequency band; bandwidth; Trend of the peak frequency; Consistency of time segments; mean F0; Noisiness (% non-harmonic);" HNR"",""F0"","""",""SPSS"",""DFA, two-step clustering"",""features"","""",""Yes"",""CC BY 2.0"",""x"",""rayyan-305067201"",""Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons."",2013,9,23,""frontiers in zoology"",""1742-9994 (Print)"",10,1,""58"",""Maciej P and Ndao I and Hammerschmidt K and Fischer J"",""https://pubmed.ncbi.nlm.nih.gov/24059742/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1186/1742-9994-10-58"","""",""24059742"",""PMC3849383"",NA,30,1215,0,5";;;;;;;;;;;;;;;;;;;;;
"10/10/2025 07:41:36,""rayyan-305067210"",""The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure."",2014,""Cercopithecus mitis stulmanni"",""blue monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"",""32"",1171,""772"",""Hand"",""No"",""6"",NA,"""",""Yes"",""No"",""only males"",""yes"","""",""1024"",""Hanning/Hann"","""",""No"",NA,NA,"""",""Raven Pro"",""18"",""Some"",""duration"",""inter unit interval, number of units"",""3-7 location for formant"","""","""",""max/peak frequency, center frequency"","""",""start F0"; middle F0; end F0; rise time; min F0; max F0; start F0; middle F0, end F0; total slope F0; first half slope F0; second half slope F0; DF1-F0;" DF2-DF1"",""F0, formants"","""",""R"",""DFA, PCA, agglomerative hierarchical clustering"",""features"","""",""No"","""",""x"",""rayyan-305067210"",""The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure."",2014,3,NA,""american journal of primatology"",""1098-2345 (Electronic)"",76,3,""203-16"",""Fuller JL"",""https://pubmed.ncbi.nlm.nih.gov/24130044/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22223"",""Acoustics";Animals;Behavior, Animal;Cercopithecus/*physiology;Cluster Analysis;Discriminant Analysis;Kenya;Male;Principal Component Analysis;Sound Spectrography/veterinary;*Speech Acoustics;Tape Recording;"Vocalization, Animal/*classification/*physiology"",""24130044"","""",NA,32,772,0,6";;;;
"10/10/2025 15:52:01,""rayyan-305067231"",""Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation."",2019,""Lepilemur sahamalaza"",""Sahamalaza sportive lemurs"","""",""Primates"",""Lepilemuridae"",""field"",""group"",""Unknown"","""",NA,""698"",""Hand"",""Yes"",""12"",NA,"""",""Yes"",""No"",""17 collared individuals, further ad libitum included"",""yes"","""",""1024"",""Flattop"",""87.5"",""Highpass"",50,NA,"""",""Avisoft-SASLab Pro"",""24"",""Some"",""duration"",""inter unit interval, number of units"",""start"; end; mean;" maximum"","""",""peak frequency, min frequency, max frequency, bandwidth, Q50"","""","""",""start PF - max PF"; end PF - max PF; modulation coefficient;" structure (tonal, etc)"","""","""",""not specified"",""DFA, PCA, hierarchical clustering"",""features"","""",""No"","""",""x"",""rayyan-305067231"",""Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation."",2019,NA,NA,""folia primatologica";" international journal of primatology"",""1421-9980 (Electronic)"",90,5,""336-360"",""Mandl I and Schwitzer C and Holderied M"",""https://pubmed.ncbi.nlm.nih.gov/31416066/"",""eng"",NA,""Netherlands"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1159/000493939"",""Animals";Female;Madagascar;Male;Strepsirhini/*physiology;"*Vocalization, Animal"",""31416066"","""",NA,NA,698,0,12";;;;;;;;;;;;;;;;
"11/10/2025 22:39:38,""rayyan-305067281"",""Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging."",2019,""Myotis macrodactylus"",""big-footed myotis"","""",""Chiroptera"",""Vespertilionidae"",""field"",""group"",""Unknown"","""",NA,""3619"",""Hand"",""No"",""8"",NA,"""",""No"",""No"","""",""yes"","""",""1024"","""",""93.75"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""10"",""No"",""duration"","""","""","""",""peak frequency, min frequency, max frequency, bandwidth, Q25, Q50, Q75"","""","""",""start freq";" end freq"","""","""",""SPSS"",""DFA, PCA"",""features"","""",""No"","""",""x"",""rayyan-305067281"",""Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging."",2019,9,NA,""integrative zoology"",""1749-4877 (Electronic)"",14,5,""446-459"",""Guo D and Luo B and Zhang K and Liu M and Metzner W and Liu Y and Feng J"",""https://pubmed.ncbi.nlm.nih.gov/30585415/"",""eng"",NA,""Australia"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1111/1749-4877.12367"",""Acoustics";Animals;Chiroptera/*physiology;*Feeding Behavior;*Social Behavior;"Vocalization, Animal/*physiology"",""30585415"","""",NA,NA,3619,0,8";;;;;;;;;;;;;;;;;;;;;;
"12/10/2025 20:28:24,""rayyan-305067326"",""The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations"",1998,""Macaca mulatta"",""rhesus monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"",""unclear"",NA,""2060"",""Hand"",""No"",""4"",NA,"""",""No"",""No"","""","""","""",""1024"",""Hamming"","""",""Lowpass"",NA,10000,"""",""Canary"",""15"",""Some"",""duration"",""unit duration, inter unit interval, number of units"","""","""","""","""","""",""peak time"; min F0; max F0; start F0, middle F0; end F0; F0 slope; end/start F0; end/middle F0; middle/begin F0; max/min F0;" middle/max F0"",""F0"","""",""Interactive Laboratory System";" NCSS"",""LDA, linear predictive coding"",""spectrogram"","""",""No"","""",""x"",""rayyan-305067326"",""The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations."",1998,1,NA,""the journal of the acoustical society of america"",""0001-4966 (Print)"",103,1,""602-14"",""Rendall D and Owren MJ and Rodman PS"",""https://pubmed.ncbi.nlm.nih.gov/9440345/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.421104"",""Acoustics";Animals;Macaca mulatta/physiology;Sound Spectrography;Vocal Cords/*physiology;"Vocalization, Animal/*physiology"",""9440345"","""",NA,-1,2060,0,4";;;;;;;;;;;;
"13/10/2025 22:00:40,""rayyan-305067332"",""The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference."",2017,""Microcebus sambiranensis"",""Sambirano mouse lemur"","""",""Primates"",""Cheirogaleidae"",""field"",""group"",""Unknown"","""",NA,""71"",""Hand"",""Yes"",""5"",NA,"""",""No"",""Upon request"","""",""yes"","""","""","""","""","""",NA,NA,""nothing reported"",""Avisoft-SASLab Pro"",""15"",""Some"",""duration"",""inter unit interval"",""mean"; start;" end"","""",""peak frequency, min frequency, max frequency, bandwidth"","""","""",""time to max PF"",""peak frequency"","""",""SPSS"",""DFA, PCA"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067332"",""The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference."",2017,NA,NA,""international journal of primatology"",""0164-0291 (Print)"",38,4,""732-750"",""Hending D and Holderied M and McCabe G"",""https://pubmed.ncbi.nlm.nih.gov/28845070/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s10764-017-9977-6"","""",""28845070"",""PMC5550550"",NA,NA,71,0,5";;;;;;;;;;;;;;;;;;;;;;;;;;
"12/10/2025 22:55:37,""rayyan-305067337"",""Acoustically diverse vocalization repertoire in the Himalayan leaf-nosed bat, a widely distributed Hipposideros species."",2016,""Hipposideros armiger"",""Himalayan leaf-nosed bat"","""",""Chiroptera"",""Hipposideridae"",""field"",""group"",""Unknown"","""",NA,"""",""Hand, Automated"",""Yes"",""35"",NA,""18"",""No"",""No"",""Automated repertoire only for simple syllables"",""yes"","""",""1024"",""Hamming"",""93.75"",""No"",NA,NA,"""",""not specified"",""10"",""No"",""duration"","""","""","""","""","""","""",""peak freq"; min freq; max freq; bandwidth; time to peak freq; time to max freq; center freq; fmax-bandwidth/2);" number of harmonics"",""F0"",""multi-syllable calls, but only individual syllables considered";" 10 parameters for further analysis, a few qualitative additional features not used for analysis"",""JMP Pro"",""LDA, K-means clustering, MDS"",""features"","""",""No"","""",""x"",""rayyan-305067337"",""Acoustically diverse vocalization repertoire in the Himalayan leaf-nosed bat, a widely distributed Hipposideros species."",2016,11,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",140,5,""3765"",""Lin A and Jiang T and Feng J and Kanwal JS"",""https://pubmed.ncbi.nlm.nih.gov/27908088/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.4966286"",""Acoustics";Animals;*Chiroptera;Interpersonal Relations;Sound Spectrography;"Vocalization, Animal"",""27908088"","""",NA,NA,NA,0,35";;;;;;;;;;;;;;
"13/10/2025 22:12:42,""rayyan-305067339"",""Context-related call combinations in female Diana monkeys."",2012,""Cercopithecus diana diana"",""Diana monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"","""",NA,""2129"",""Hand"",""No"",""4"",NA,"""","""",""No"",""females only";" explicitly not graded repertoire"",""yes"","""","""","""","""","""",NA,NA,""None mentioned"",""Raven Pro"",""3"",""Some"",""duration"","""","""","""","""","""","""",""F0 min";" F0 max"",""F0"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067339"",""Context-related call combinations in female Diana monkeys."",2012,5,NA,""animal cognition"",""1435-9456 (Electronic)"",15,3,""327-39"",""Candiotti A and Zuberbühler K and Lemasson A"",""https://pubmed.ncbi.nlm.nih.gov/21947942/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s10071-011-0456-8"",""Acoustics";Animals;Cercopithecus/*psychology;Environment;Female;Male;Social Behavior;Social Environment;"*Vocalization, Animal"",""21947942"","""",NA,NA,2129,0,4";;;;;;;;;;;;;;;;;;
"15/10/2025 11:04:08,""rayyan-305067386"",""Do sexual calls in female black capuchin monkeys (Sapajus nigritus) vary with fertility? An acoustic analysis."",2018,""Sapajus nigritus"",""black capuchin"","""",""Primates"",""Cebidae"",""field"",""group"",""Unknown"",""12"",NA,""210"",""Hand"",""No"",""7"",NA,"""",""No"",""No"",""female sexual calls onlyl"",""yes"","""",""512"",""Hamming"",""87.5"","""",NA,NA,"""",""Avisoft-SASLab Pro"",""22"",""Some"",""duration"",""unit duration, inter unit interval, number of units, unit range (units/s), Flat frequency unit rate"; proportion flat frequency units; downsweep unit rate; proportion downsweeps; concave unit rate; proportion concaves; upsweep rate; proportion upsweeps; waveform unit rate; proportion waveforms; noisy unit rate;" proportion noisy"","""","""","""","""","""",""bout rate"; units/sequences;" different units per sequence"","""","""",""SPSS"",""PCA, two-step clustering"",""features"","""",""No"","""",""x"",""rayyan-305067386"",""Do sexual calls in female black capuchin monkeys (Sapajus nigritus) vary with fertility? An acoustic analysis."",2018,9,NA,""american journal of primatology"",""1098-2345 (Electronic)"",80,9,""e22920"",""Bernaldo de Quirós E and Wheeler BC and Hammerschmidt K and Heistermann M and Tiddi B"",""https://pubmed.ncbi.nlm.nih.gov/30296346/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22920"",""Animals";Argentina;Cebinae/*physiology;Copulation;Female;*Fertility;"*Vocalization, Animal"",""30296346"","""",NA,12,210,0,7";;;;;;;;;
"15/10/2025 11:49:40,""rayyan-305067394"",""Vocalizations of wild Asian elephants (Elephas maximus): structural classification and social context."",2009,""Elephas maximus"",""Asian elephant"","""",""Proboscidea"",""Elephantidae"",""field"",""group"",""Yes"",""154"",371,""258"",""Hand"",""Yes"",""4"",NA,"""",""Yes"",""No"","""",""yes"","""","""","""","""","""",NA,NA,""nothing reported"",""MATLAB, Praat"",""16"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, range F0, start f0, end f0"","""","""","""",""max freq"; min freq; HNR; Frequencies of the first through seventh spectral peaks in the LPC spectrum; Amplitudes of the first through seventh spectral peaks in the LPC spectrum; Rumble peaks; time to max F0; time to min F0;" Frequency change per unit time for the fourth harmonic"",""F0, formants, amplitude"","""",""Statistica"",""UPGMA"",""features"","""",""No"","""",""x"",""rayyan-305067394"",""Vocalizations of wild Asian elephants (Elephas maximus): structural classification and social context."",2009,11,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",126,5,""2768-78"",""Nair S and Balakrishnan R and Seelamantula CS and Sukumar R"",""https://pubmed.ncbi.nlm.nih.gov/19894852/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.3224717"",""*Acoustics";Age Factors;Animals;Animals, Wild;*Behavior, Animal;Elephants/*physiology;Female;India;Male;*Social Behavior;Trees;"Vocalization, Animal/*physiology"",""19894852"","""",NA,154,258,0,4";;;;;;;;;
"29/10/2025 08:57:14,""rayyan-305067514"",""Acoustic structure of forest elephant rumbles: a test of the ambiguity reduction hypothesis."",2019,""Loxodonta cyclotis"",""forest elephant"","""",""Proboscidea"",""Elephantidae"",""field"",""group"",""Unknown"",""unknown"",NA,""686"",""Automated"",""No"","""",NA,"""",""Yes"",""Upon request"",""repertoire size 5-8"",""yes"","""","""",""Hanning/Hann"","""",""Yes"",10,250,"""",""Raven Pro"",""21"",""No"",""duration"","""","""","""","""",""max/peak frequency, center frequency, center time, 1st quartile time, 3rd quartile time, duration 90%"","""",""F2 center freq"; difference between F2 and F1 center freq; F1 max; F1 min; F1 range; F1 average; time to max F1; time to min F1; start slope; mid slope; end slope; end freq; max/ave F1; ave/min F1; coefficient of freq modulation; jitter factor;" freq range/(mean freq)^2"",""formants"",""Analysis of F1 instead of F0"",""R"",""DFA, PCA, GMM"",""features"","""",""No"","""",""x"",""rayyan-305067514"",""Acoustic structure of forest elephant rumbles: a test of the ambiguity reduction hypothesis."",2019,11,NA,""animal cognition"",""1435-9456 (Electronic)"",22,6,""1115-1128"",""Hedwig D and Verahrami AK and Wrege PH"",""https://pubmed.ncbi.nlm.nih.gov/31535246/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s10071-019-01304-y"",""Acoustics";Animal Communication;Animals;*Elephants;Forests;"Vocalization, Animal"",""31535246"","""",NA,-1,686,0,NA";;;;;;;
"29/10/2025 12:33:44,""rayyan-305067532"",""Sources of acoustic variation: implications for production specificity and call categorization in chacma baboon (Papio ursinus) grunts."",2011,""Papio ursinus"",""Chacma baboon"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"",""30"",NA,""2306"",""Hand"",""No"",""4"",NA,"""",""Yes"",""No"","""",""yes"","""",""1024"",""Hamming"",""98.43"","""",NA,NA,"""",""LMA";" Praat"",""16"",""No"",""duration"","""","""","""","""","""","""",""mean F0"; time to max F0; F0 trend; PF mean; bandwidth; Q25; dominant frequency band; amplitude F1/F0; HNR; percent tonal;" mean freq F1-4"",""F0, peak frequency, formants"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067532"",""Sources of acoustic variation: implications for production specificity and call categorization in chacma baboon (Papio ursinus) grunts."",2011,3,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",129,3,""1631-41"",""Meise K and Keller C and Cowlishaw G and Fischer J"",""https://pubmed.ncbi.nlm.nih.gov/21428526/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.3531944"",""Animals";Arousal;Auditory Perception;Discrimination, Psychological;Feeding Behavior;Female;Maternal Behavior;Papio ursinus/*physiology;Signal Processing, Computer-Assisted;Social Behavior;Sound Spectrography;Species Specificity;"*Vocalization, Animal/classification"",""21428526"","""",NA,30,2306,0,4";;;;;
"03/11/2025 12:54:33,""rayyan-305067679"",""Dwarf mongoose alarm calls: investigating a complex non-human animal call"",2020,""Helogale parvula"",""dwarf mongoose"","""",""Carnivora"",""Herpestidae"",""field"",""group"",""Unknown"","""",NA,""105"",""Hand"",""No"",""3"",NA,"""",""No"",""Yes, preprocessed"","""",""yes"","""","""","""","""","""",NA,NA,""not reported"",""Luscinia"",""28"",""Some"",""duration"",""inter unit interval, number of units"",""First and second half for T3 calls"","""","""","""","""",""peak freq"; mean peak freq; max peak freq; min peak freq; peak freq start; peak freq end; mean F0; max F0; mean F0; change in peak freq; change in peak freq end; change in F0; min change F0; change F0 start; change F0 end; max F0 absolute change; min F0 absolute change; absolute change F0 start; absolute change F0 end; mean ent; max ent; start ent; mean freq bandwidth; max freq bandwidth; min freq bandwidth;" end freq bandwidth"",""F0, peak frequency"","""",""R"",""DFA"",""features"","""",""Yes"","""",""x"",""rayyan-305067679"",""Dwarf mongoose alarm calls: investigating a complex non-human animal call."",2020,9,30,""proceedings of the royal society b"",""1471-2954 (Electronic)"",287,1935,""20192514"",""Collier K and Radford AN and Stoll S and Watson SK and Manser MB and Bickel B and Townsend SW"",""https://pubmed.ncbi.nlm.nih.gov/32962548/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1098/rspb.2019.2514"",""Animals";*Herpestidae;Social Behavior;"*Vocalization, Animal"",""32962548"",""PMC7542821"",NA,NA,105,0,3"
"06/11/2025 12:26:25,""rayyan-305067770"",""Finding Meanings in Low Dimensional Structures: Stochastic Neighbor Embedding Applied to the Analysis of Indri indri Vocal Repertoire."",2019,""Indri indri"",""indri"","""",""Primates"",""Indriidae"",""field"",""group"",""Unknown"","""",NA,""3360"",""Hand, Automated"",""Yes"",""10"",NA,""8"",""Yes"",""No"","""",""yes"","""","""","""","""",""Yes"",50,15000,""settings not reported"",""Praat"",""151"","""",""duration"","""",""For each portion, the frequency range between 50 Hz and 15,000 Hz was divided into sets of frequencies called bins or bands (e.g., 50–500 Hz, 501–1000 Hz, 1001–1500 Hz, and 2001–2500 Hz). For each bin, we extracted the energy value using the function ‘Get band energy’ in Praat."","""","""","""","""",""band energy"","""","""",""R";" WEKA"",""t-SNE";" multi-layer perceptron"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067770"",""Finding Meanings in Low Dimensional Structures: Stochastic Neighbor Embedding Applied to the Analysis of Indri indri Vocal Repertoire."",2019,5,15,""animals : an open access journal from mdpi"",""2076-2615 (Print)"",9,5,"""",""Valente D and De Gregorio C and Torti V and Miaretsoa L and Friard O and Randrianarison RM and Giacoma C and Gamba M"",""https://pubmed.ncbi.nlm.nih.gov/31096675/"",""eng"",NA,""Switzerland"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.3390/ani9050243"","""",""31096675"",""PMC6562776"",NA,NA,3360,0,10";;;;;;;;;;;;;;;;;;;;;;;;;;
